Wall time,Step,Value
1604493511.5489216,988,89.7569580078125
1604493526.1106005,996,79.96263885498047
1604493534.0479345,1000,75.05486297607422
1604493539.424062,1002,70.21939849853516
1604493542.9673345,1004,89.88719177246094
1604493544.6673322,1005,87.01709747314453
1604493550.187082,1008,66.123291015625
1604493551.9995189,1009,70.34993743896484
1604493555.595781,1011,83.83219146728516
1604493557.4222922,1012,68.73905181884766
1604493559.3409045,1013,73.55174255371094
1604493561.200959,1014,61.41257858276367
1604493566.623329,1017,73.62042236328125
1604493581.0524027,1025,71.78541564941406
1604493584.583939,1027,74.52555847167969
1604493588.1831255,1029,64.33502960205078
1604493591.9058275,1031,83.95471954345703
1604493593.7154043,1032,73.56905364990234
1604493595.9501595,1033,68.52812957763672
1604493601.6053317,1035,66.37112426757812
1604493607.2413194,1037,66.33061218261719
1604493610.0162761,1038,76.64642333984375
1604493612.9303126,1039,67.88829040527344
1604493627.7028499,1042,58.33399200439453
1604493638.4774177,1044,77.16860961914062
1604493678.731338,1051,59.02499771118164
1604493684.0047667,1052,60.117759704589844
1604493700.2579157,1055,66.3121337890625
1604493711.0056126,1057,52.833797454833984
1604493743.5718203,1063,62.36304473876953
1604493748.9818728,1064,66.66144561767578
1604493760.6722493,1066,59.25788116455078
1604493773.703351,1068,61.70001983642578
1604493796.4368348,1072,55.8603515625
1604493818.1845524,1076,63.72489547729492
1604493829.147494,1078,62.614097595214844
1604493840.1397283,1080,59.692386627197266
1604493856.940875,1083,61.4815559387207
1604493862.3904345,1084,66.72064208984375
1604493868.2853947,1085,65.6492919921875
1604493874.0421653,1086,51.9207878112793
1604493907.5192165,1092,68.71537017822266
1604493912.9962363,1093,49.920143127441406
1604493946.8507316,1099,49.56591033935547
1604493960.581006,1101,56.171966552734375
1604493971.890343,1103,50.03938674926758
1604493977.4973161,1104,50.591896057128906
1604493983.1220362,1105,62.61865997314453
1604494033.9674366,1114,53.589481353759766
1604494045.3286827,1116,62.15380859375
1604494062.6768835,1119,39.74365997314453
1604494085.2924614,1123,45.371089935302734
1604494096.4155612,1125,50.897422790527344
1604494102.009646,1126,52.572696685791016
1604494124.5662796,1130,42.54790496826172
1604494130.1345162,1131,51.27252960205078
1604494141.4758728,1133,45.75819778442383
1604494147.1299186,1134,47.403282165527344
1604494152.9024558,1135,46.91667175292969
1604494169.6207345,1138,55.65911865234375
1604494175.2681468,1139,58.866580963134766
1604494232.797754,1149,45.42255783081055
1604494246.9221098,1151,47.90850830078125
1604494252.7769516,1152,63.936744689941406
1604494269.8329902,1155,48.809566497802734
1604494275.8108766,1156,46.939640045166016
1604494281.3796604,1157,48.309715270996094
1604494298.3438115,1160,62.232940673828125
1604494304.1347876,1161,54.07856750488281
1604494309.9956846,1162,48.4629020690918
1604494395.3880897,1177,45.13856506347656
1604494412.6378076,1180,41.27333450317383
1604494424.0066874,1182,54.033477783203125
1604494429.6545408,1183,45.16413879394531
1604494440.8709297,1185,54.98462677001953
1604494446.524471,1186,53.63381576538086
1604494463.5203009,1189,40.3279914855957
1604494480.587448,1192,52.749698638916016
1604494486.4191062,1193,42.62917709350586
1604494492.1728256,1194,54.3801155090332
1604494497.9674184,1195,42.66244888305664
1604494509.4071681,1197,40.127017974853516
1604494521.338165,1199,46.1622200012207
1604494535.5740006,1201,55.11532974243164
1604494547.0893936,1203,44.58864974975586
1604494552.7621846,1204,46.620750427246094
1604494564.2550204,1206,62.722267150878906
1604494575.6472564,1208,56.09062576293945
1604494587.403515,1210,44.5264892578125
1604494593.003356,1211,51.75181198120117
1604494598.7387147,1212,51.114322662353516
1604494604.356839,1213,57.77871322631836
1604494610.1493864,1214,44.93900680541992
1604494667.8744273,1224,42.37107849121094
1604494690.9085379,1228,35.76006317138672
1604494714.3235443,1232,55.05295181274414
1604494720.1638987,1233,43.36824035644531
1604494726.2312315,1234,42.98531723022461
1604494737.8719099,1236,51.59685134887695
1604494755.2412026,1239,53.66798782348633
1604494772.9661803,1242,46.789764404296875
1604494784.5425873,1244,45.20225524902344
1604494796.504733,1246,48.772029876708984
1604494802.69273,1247,44.7879638671875
1604494814.5414324,1249,44.85684585571289
1604494841.2505426,1253,44.3355827331543
1604494847.1704822,1254,49.57905960083008
1604494853.0427408,1255,41.79575729370117
1604494865.054681,1257,49.2325439453125
1604494870.9314015,1258,46.73590850830078
1604494888.6968174,1261,37.501285552978516
1604494894.5505307,1262,37.784210205078125
1604494900.6483402,1263,47.27144241333008
1604494906.4944675,1264,46.12594985961914
1604494918.3686998,1266,50.27458572387695
1604494947.8919945,1271,51.107582092285156
1604494965.889375,1274,37.95198440551758
1604494996.394968,1279,39.33586120605469
1604495008.172383,1281,47.809295654296875
1604495032.1545794,1285,46.714969635009766
1604495044.1182935,1287,41.63462829589844
1604495068.0400732,1291,33.851314544677734
1604495073.9652712,1292,46.732521057128906
1604495079.8079605,1293,44.40418243408203
1604495086.0136495,1294,39.77428436279297
1604495097.9434478,1296,43.982818603515625
1604495115.8860114,1299,44.20824432373047
1604495121.7937775,1300,35.64173126220703
1604495136.5460932,1302,40.484981536865234
1604495142.5694392,1303,49.44540786743164
1604495148.8294828,1304,39.6550407409668
1604495185.2453742,1310,40.27714920043945
1604495197.3485134,1312,39.86943435668945
1604495203.239327,1313,32.24974822998047
1604495215.3487272,1315,40.163673400878906
1604495221.3993561,1316,35.65265655517578
1604495239.371964,1319,42.299110412597656
1604495245.260625,1320,45.63116455078125
1604495275.4033267,1325,43.41281509399414
1604495281.526781,1326,45.74985885620117
1604495287.5487173,1327,33.95966720581055
1604495305.7770627,1330,47.662620544433594
1604495317.8284419,1332,35.27345657348633
1604495323.8592708,1333,31.65597152709961
1604495329.856081,1334,41.52526092529297
1604495335.8094547,1335,32.05224609375
1604495341.9331026,1336,44.09905242919922
1604495347.905196,1337,39.74335861206055
1604495383.8954756,1343,48.46261978149414
1604495413.7400618,1348,29.113609313964844
1604495419.6453636,1349,39.55785369873047
1604495425.7194445,1350,34.64115524291992
1604495458.3084931,1355,45.5265007019043
1604495482.1317165,1359,35.366336822509766
1604495494.0838597,1361,35.983402252197266
1604495499.9451673,1362,27.811853408813477
1604495524.145473,1366,43.92076873779297
1604495548.015408,1370,42.11020278930664
1604495589.5383577,1377,39.70254135131836
1604495601.6296852,1379,43.678043365478516
1604495619.6368277,1382,44.84029769897461
1604495631.609624,1384,40.802154541015625
1604495638.0574894,1385,38.366233825683594
1604495656.3166578,1388,40.680973052978516
1604495662.242802,1389,38.467185974121094
1604495674.3741646,1391,30.939023971557617
1604495680.2890775,1392,33.454586029052734
1604495698.2794502,1395,37.95452880859375
1604495804.551879,1412,36.01874542236328
1604495810.4408362,1413,35.90595626831055
1604495816.420068,1414,42.489559173583984
1604495822.3565066,1415,35.59202194213867
1604495846.7721884,1419,37.010772705078125
1604495865.34419,1422,36.280155181884766
1604495871.421581,1423,38.21602249145508
1604495889.5506423,1426,37.17708206176758
1604495895.4838393,1427,35.42304229736328
1604495901.4984124,1428,29.24795150756836
1604495925.5300927,1432,43.057559967041016
1604495931.463098,1433,34.12029266357422
1604495937.6300106,1434,29.64999008178711
1604495949.5816095,1436,32.257896423339844
1604495961.864417,1438,45.54184341430664
1604495973.8829181,1440,39.57958221435547
1604495985.8678331,1442,38.21864318847656
1604496021.9645798,1448,38.119815826416016
1604496034.1852643,1450,39.088829040527344
1604496067.562151,1455,33.67403030395508
1604496073.6926465,1456,41.303382873535156
1604496128.1740632,1465,37.381099700927734
1604496134.3045518,1466,31.309104919433594
1604496201.1565478,1477,35.87714385986328
1604496225.252777,1481,32.40694046020508
1604496231.4131513,1482,28.094783782958984
1604496249.6822197,1485,40.75764465332031
1604496255.814663,1486,38.08784103393555
1604496274.53745,1489,32.79800796508789
1604496287.2498586,1491,35.012229919433594
1604496293.3556044,1492,31.464618682861328
1604496299.52012,1493,29.308889389038086
1604496342.2228172,1500,36.55899429321289
1604496351.322109,1501,25.550979614257812
1604496357.5411022,1502,32.92815017700195
1604496363.695806,1503,35.57405471801758
1604496381.856419,1506,47.911678314208984
1604496394.2208056,1508,38.3097038269043
1604496400.5483518,1509,32.97802734375
1604496406.7184696,1510,30.50829315185547
1604496412.9151306,1511,37.91653823852539
1604496443.9678707,1516,30.567873001098633
1604496456.3612359,1518,47.39473342895508
1604496487.0447025,1523,33.68669509887695
1604496493.1108322,1524,37.1247444152832
1604496511.6967933,1527,31.181612014770508
1604496554.9724889,1534,32.296329498291016
1604496567.4483628,1536,29.808940887451172
1604496628.4256134,1546,19.69053840637207
1604496640.6358469,1548,34.78627014160156
1604496646.82501,1549,26.87024688720703
1604496661.9958684,1551,29.773481369018555
1604496668.171893,1552,32.085811614990234
1604496680.568083,1554,32.4592399597168
1604496686.6646852,1555,31.11423683166504
1604496723.6086888,1561,25.23973274230957
1604496729.8479986,1562,36.64155578613281
1604496767.076124,1568,24.219314575195312
1604496773.1697469,1569,32.953460693359375
1604496828.8814774,1578,35.35750198364258
1604496853.5801365,1582,30.46314811706543
1604496865.8268938,1584,38.37324523925781
1604496890.6612906,1588,26.56183624267578
1604496927.8030598,1594,33.09857940673828
1604496946.533274,1597,20.355566024780273
1604496959.4769785,1599,34.4211540222168
1604496981.0815356,1602,29.908498764038086
1604496993.500809,1604,22.7637996673584
1604496999.7351758,1605,27.0921688079834
1604497024.4321384,1609,36.181453704833984
1604497030.9057257,1610,34.25942611694336
1604497043.2388623,1612,35.455726623535156
1604497049.3214765,1613,33.68401336669922
1604497061.8286822,1615,29.222429275512695
1604497080.301219,1618,19.85441017150879
1604497086.4050946,1619,28.84690284729004
1604497092.53031,1620,24.257381439208984
1604497117.247875,1624,28.378067016601562
1604497129.5273082,1626,24.765663146972656
1604497136.1745672,1627,28.115550994873047
1604497142.3188686,1628,37.816673278808594
1604497154.8299787,1630,28.390029907226562
1604497167.413514,1632,20.339248657226562
1604497179.827347,1634,26.645998001098633
1604497198.4315407,1637,23.303070068359375
1604497217.0950217,1640,35.78235626220703
1604497223.190003,1641,30.68849754333496
1604497229.5049427,1642,30.00963592529297
1604497248.339435,1645,31.22705841064453
1604497261.0381348,1647,22.54311180114746
1604497267.307787,1648,27.421689987182617
1604497288.671167,1651,39.44329071044922
1604497294.7806327,1652,31.102800369262695
1604497313.465995,1655,30.892234802246094
1604497338.7022657,1659,27.426918029785156
